player,team,pos,g,mp,g_1,mp_1,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,DUMMY,ows,dws,ws,ws_per_40
Lexie Brown,SEA,G,10,148,10,148,8.1,.663,.635,.769,.231,0.8,5.1,11.3,1.7,0.6,25.9,11.4,104,113,,0.0,0.1,0.1,.038
Paige Bueckers,DAL,G,33,1103,33,1103,22.2,.603,.564,.298,.235,2.3,7.3,29.6,1.2,1.1,11.0,25.4,120,112,,3.9,1.0,4.9,.177
Frieda BÃ¼hner,POR,F-C,32,485,32,485,12.7,.587,.535,.503,.280,6.2,9.5,7.7,1.2,0.4,12.8,18.7,112,117,,0.7,0.1,0.7,.061
Kennedy Burke,CON,G-F,32,746,32,746,11.8,.518,.478,.502,.311,5.0,8.3,10.2,2.3,3.5,16.1,17.9,98,110,,-0.3,0.9,0.7,.035
Rae Burrell,LAS,G-F,34,987,34,987,13.5,.584,.535,.393,.329,2.4,4.9,13.5,1.3,1.7,16.0,21.6,105,117,,0.7,0.1,0.8,.032
Veronica Burton,GSV,G,33,944,33,944,19.5,.563,.502,.411,.385,4.7,7.5,33.2,2.6,1.6,12.4,20.2,123,104,,3.2,1.9,5.1,.215
Maya Caldwell,MIN,G,36,495,36,495,10.8,.497,.463,.496,.185,7.3,9.5,10.1,2.4,1.4,14.6,15.1,106,107,,0.3,0.8,1.1,.088
Jordin Canada,ATL,G,33,1041,33,1041,16.0,.541,.473,.333,.457,2.7,7.1,36.5,3.2,0.6,20.3,17.7,112,106,,1.7,1.9,3.6,.137
Emma Cannon,LAS,F,13,87,13,87,17.7,.742,.696,.607,.571,6.9,10.4,9.2,0.0,2.1,16.7,21.1,126,118,,0.3,0.0,0.3,.145
Kamilla Cardoso,CHI,C,34,900,34,900,22.7,.607,.564,.000,.421,11.9,18.9,16.8,1.1,5.0,12.9,22.8,118,106,,2.5,1.6,4.1,.182
Bridget Carleton,POR,F,34,1033,34,1033,16.2,.563,.525,.623,.194,3.1,9.4,11.3,2.5,1.6,8.8,20.8,112,113,,1.6,0.8,2.4,.092
Raquel Carrera Quintana,NYL,C,19,107,19,107,11.3,.666,.667,.389,.667,9.6,11.9,9.7,0.5,1.7,20.5,12.2,121,113,,0.2,0.1,0.3,.108
DiJonai Carrington,CHI,G-F,8,137,8,137,14.5,.484,.404,.247,.493,3.3,11.3,6.3,2.5,0.6,6.3,30.0,98,107,,-0.1,0.2,0.1,.043
Chennedy Carter,LVA,G,13,220,13,220,24.4,.684,.655,.210,.370,5.0,6.2,14.2,2.5,1.6,12.8,27.4,121,110,,0.8,0.3,1.0,.189
Sha Carter,PHO,F,13,81,13,81,4.0,.300,.167,.500,.889,4.5,6.8,12.7,3.1,0.0,7.4,15.1,79,110,,-0.2,0.1,-0.1,-0.053
Emma ÄechovÃ¡,MIN,C,3,52,3,52,13.8,.640,.625,.063,.500,9.3,12.5,0.0,1.0,3.8,17.0,19.8,110,107,,0.1,0.1,0.1,.113
Kaila Charles,GSV,G-F,33,662,33,662,12.2,.498,.463,.417,.203,9.9,13.6,11.1,2.2,1.1,13.6,16.4,106,103,,0.5,1.4,1.9,.115
Kaitlyn Chen,GSV,G,33,481,33,481,15.7,.613,.596,.262,.215,3.0,4.9,26.4,1.0,0.0,17.5,21.9,112,109,,0.9,0.6,1.5,.121
Shay Ciezki,PHO,G,2,9,2,9,13.7,.750,.750,.500,.000,0.0,6.8,18.3,0.0,0.0,0.0,10.1,155,116,,0.0,0.0,0.0,.161
